pickup_datetime,pickup_x,pickup_y,dropoff_x,dropoff_y
6/1/34 9:04,147.6425842,303.4024759,154.4927375,325.6436442
6/14/34 2:04,157.7841362,338.4437368,170.1428769,420.4777224
2/2/34 8:01,152.534035,296.9457193,157.7029782,345.2943219
6/14/34 16:38,148.4938475,310.6595687,146.1820715,315.6270705
7/1/34 20:38,143.4448905,356.3322383,178.0035533,457.7142421
1/21/34 18:52,159.3041492,350.6257853,147.1092231,334.8278076
3/5/34 21:06,153.7713534,364.0277083,147.2467918,363.2076746
4/20/34 7:18,162.7759786,314.8336763,162.6197726,322.8676661
6/22/34 12:02,152.0204676,367.4576653,149.9169723,336.8621326
4/25/34 15:18,152.4348838,329.0455346,166.440828,361.1229216
1/31/34 6:29,141.8014198,374.6830262,176.4842745,431.8540717
2/17/34 8:33,150.228748,344.3628514,156.9393261,339.5735461
7/5/34 13:04,145.6737651,346.2178351,148.0351005,323.6577257
2/16/34 6:58,141.2450759,350.2110507,143.1051575,360.3367567
5/14/34 16:25,148.8237626,333.7148745,158.8691127,342.9939757
4/29/34 13:56,165.9710191,351.0447054,171.3222329,359.7539316
4/18/34 23:55,166.7519555,339.7898934,166.2620353,339.0573411
3/11/34 19:18,72.54803823,423.9613169,172.8856107,352.3755071
6/14/34 14:17,150.5108248,304.5422683,115.7301338,327.754696
7/5/34 23:00,144.6748299,323.9890695,110.4432676,295.2435808
7/9/34 12:19,149.7874231,300.2979955,151.2921484,293.1495534
6/4/34 22:47,152.9190348,323.0325443,152.3180633,335.6421456
3/13/34 0:49,157.2910665,330.0904503,156.9329188,338.9509415
1/20/34 19:20,167.2287396,351.6253336,165.8942857,340.6330761
6/9/34 13:17,157.2164903,339.9636583,140.2528359,304.7466776
1/21/34 22:40,152.1124009,296.4378002,172.02309,365.6412059
7/8/34 14:18,168.9552256,316.9719044,161.2568793,340.3929429
6/9/34 20:21,162.9486397,320.0784499,144.2845667,315.2708127
1/27/34 22:01,151.7865919,295.8296781,160.2003701,328.6856609
4/21/34 21:07,159.9650041,321.9883856,157.2161535,328.0999419
5/21/34 1:56,157.589182,333.3674522,147.8907568,359.301509
4/30/34 22:50,156.6927451,325.377344,146.1900459,308.103218
3/21/34 6:39,142.0011682,380.4659099,148.7108039,371.8285658
3/17/34 0:35,170.1276684,356.1468315,174.9871598,407.275499
2/1/34 17:13,141.5267904,364.5900162,164.6314258,371.2263234
2/3/34 23:12,158.1336067,343.3587493,152.235387,386.0629513
5/1/34 21:26,157.4918529,327.357501,168.5045814,316.4855995
7/3/34 11:51,166.6696914,320.0953388,152.825823,322.7887216
2/27/34 13:25,151.1989894,304.649385,150.5918165,311.6099292
1/15/34 9:41,148.891814,372.8592365,164.7770833,375.4414828
6/9/34 8:35,170.977416,369.1661377,153.8923899,382.1088474
4/22/34 9:47,-61.71618376,373.2892094,80.38174565,419.7424321
3/8/34 8:11,168.4487452,409.8118964,167.8836607,408.8615134
7/4/34 17:40,154.4813887,334.8501983,153.2715873,304.719676
2/9/34 1:13,154.0642067,333.9300335,148.9535384,314.4446883
1/16/34 14:41,151.0346153,382.7429779,149.6204403,358.6715323
6/25/34 0:29,168.0748211,353.5050424,149.3965803,302.615652
3/11/34 21:33,166.8556202,339.5521084,171.8156798,333.6089604
4/21/34 22:20,147.3833929,393.7403124,165.6124278,312.5134292
2/25/34 19:28,84.38751727,419.5936241,-187.6474074,650.988467
6/9/34 7:42,159.09748,308.0002794,155.5086815,287.0325689
6/5/34 1:30,139.5384305,316.1010037,150.2924846,338.7251813
7/10/34 18:02,155.2680136,362.1079264,152.043429,340.5063647
6/30/34 1:11,148.3086319,323.8220254,148.8941164,299.6950823
6/11/34 4:57,151.3137241,344.7007328,163.6653254,333.196893
2/9/34 9:13,148.5612894,321.4372622,151.3470332,359.8443193
4/12/34 1:13,155.9851409,340.3012334,158.4291954,308.3821004
5/3/34 14:32,167.7318819,362.7197767,138.7699068,373.0142847
6/3/34 23:08,148.6579479,331.3792466,143.8072471,304.4916578
4/14/34 11:21,153.295599,327.0600058,164.6847363,313.836729
3/27/34 10:54,152.8057039,380.9854294,151.7367483,372.1720187
6/23/34 1:25,168.9085873,315.106336,146.1474964,286.4309292
6/16/34 10:34,163.8740169,338.9205287,147.6070946,291.420622
2/20/34 1:05,154.3025596,334.8701525,157.7079789,345.4849912
5/8/34 20:14,153.6237563,322.9270567,130.374686,279.6613448
1/14/34 6:14,158.0474188,315.424771,164.5760768,307.9476609
4/14/34 20:26,165.1463833,328.2740744,165.1768689,307.8952704
4/3/34 11:59,149.2119908,317.6133457,169.3027942,336.2117483
6/7/34 9:48,151.3063618,343.0814116,147.2604371,347.4319355
5/18/34 17:30,149.0112036,375.8982277,149.4601919,399.3833928
1/14/34 1:58,146.411422,367.5635599,150.3329853,389.768582
6/17/34 1:03,145.6665452,349.3181502,144.9610489,344.2944256
6/12/34 23:55,143.5619809,339.1754438,140.8138636,322.5878329
6/20/34 17:40,167.066796,346.3818053,160.155371,330.0544988
5/26/34 2:55,146.5238764,318.5691606,111.8489253,255.428637
6/1/34 21:43,149.5820666,348.5728425,156.9366146,324.9201426
5/31/34 17:56,156.7442258,293.9916094,158.2397873,337.0987198
6/15/34 15:29,72.73072587,423.8847846,152.635302,321.5771747
7/5/34 22:22,150.9471818,290.2467391,149.6843249,287.5425018
1/26/34 19:29,165.8478426,354.932633,151.6835898,339.7938132
2/4/34 0:39,170.7786677,363.4213878,145.1889273,387.2048128
4/16/34 15:18,141.8481282,305.3143895,134.5243701,317.9629319
6/30/34 14:39,153.8574165,369.4334991,155.3469996,379.546026
4/27/34 17:10,138.6557953,307.7350382,-65.92171014,369.0807949
4/1/34 10:36,-61.22848969,373.9297194,152.0152117,332.3591623
4/10/34 19:31,157.903158,341.5560049,152.4561187,327.8401289
1/31/34 18:14,150.1968835,320.7990683,165.2416259,311.8484837
5/4/34 16:44,146.3634552,310.6482804,157.3952098,341.3291651
3/5/34 0:47,154.7232787,348.3800014,157.0453318,326.9993058
5/31/34 7:32,163.1801778,310.9811176,150.0592099,338.9098886
5/7/34 1:39,149.2185275,321.2963862,139.1563045,313.8331151
6/13/34 12:36,167.8398946,353.3066657,157.5174952,331.2089548
2/10/34 9:50,148.2137344,308.0689763,142.2680838,297.3121362
3/26/34 14:11,153.0732649,299.900432,157.9923494,336.3069002
4/22/34 17:04,150.5670666,327.5223259,160.6853991,327.2457528
7/2/34 1:57,150.9293824,317.5331967,107.6180238,399.2520256
4/25/34 23:17,149.8964289,347.9006122,163.7260692,339.8488932
3/11/34 20:22,150.1819817,352.968415,132.6073062,299.6627863
3/14/34 1:02,116.1637041,320.7223847,119.117129,377.9486533